,Score_Tm,Score_Opp,Off_1stD,Off_PassY,Off_RushY,Off_TO,Def_1stD,Def_PassY,Def_TO
0,15.713884204338775,18.369028188383517,16.8532850747914,249.9676235327648,255.22636734639448,3.614709636380607,16.420630998266358,346.3420169813368,1.8144147891842413
1,11.690072752392137,35.83141804431148,16.520908405408374,170.7245432170254,197.7624996299106,2.02300021900143,10.462709048308707,274.24392370098883,2.909033586977081
2,16.0,27.0,15.0,182.0,159.0,2.0,19.0,261.0,4.0
3,14.0,19.0,16.0,207.0,45.0,1.0,18.0,270.0,1.0
4,3.0,23.0,13.0,169.0,93.0,1.0,16.0,305.0,1.0
5,14.0,17.0,17.0,205.0,93.0,2.0,27.0,319.0,1.0
6,21.0,27.0,19.0,221.0,183.0,2.0,19.0,277.0,2.0
7,24.0,30.0,19.0,242.0,168.0,2.0,19.0,297.0,2.0
8,12.219607707622597,24.152555596750872,11.471909978634123,248.95345889380857,193.67183012762396,1.8778138006590528,7.710770067292488,302.44691976126535,4.77335054823178
9,28.0,19.0,16.0,161.0,167.0,3.0,25.0,346.0,5.0
10,0.0,20.0,15.0,154.0,123.0,2.0,18.0,281.0,1.0
11,13.0,12.0,17.0,172.0,186.0,4.0,7.0,70.0,1.0
12,21.0,24.0,14.0,175.0,66.0,3.0,18.0,279.0,0.0
13,35.57763991107817,42.916868410428066,13.636325020332887,197.16511791899012,261.59629998507256,2.26387655405202,18.61357594874065,301.3995822388752,3.7061068865069515
14,23.0,24.0,20.0,212.0,157.0,2.0,23.0,267.0,2.0
15,14.0,29.0,15.0,199.0,52.0,4.0,20.0,266.0,4.0
16,6.0,37.0,22.0,166.0,157.0,3.0,23.0,267.0,3.0
17,7.0,19.0,17.0,161.0,164.0,3.0,17.0,122.0,0.0
18,13.0,20.0,18.0,158.0,158.0,4.0,18.0,193.0,2.0
19,17.0,22.0,16.0,269.0,64.0,2.0,26.0,286.0,0.0
20,18.0,26.0,17.0,238.0,83.0,1.0,22.0,266.0,0.0
21,36.184050759458515,49.04323585117628,10.082038047331679,215.6381350978095,193.97617382272358,3.7545776101188464,18.892735271365993,369.63454882399714,2.9451597384564554
22,20.0,26.0,18.0,242.0,32.0,2.0,25.0,313.0,0.0
23,19.78037662389414,25.006496845114363,22.159027699272823,164.028683142498,221.012216870588,4.90717964138344,5.878376308381551,260.0547387906167,1.5680202191588961
24,10.0,32.0,11.0,166.0,78.0,4.0,16.0,273.0,4.0
25,13.0,27.0,18.0,264.0,74.0,1.0,25.0,283.0,0.0
26,13.0,17.0,22.0,235.0,83.0,2.0,11.0,104.0,1.0
27,23.0,22.0,16.0,220.0,83.0,1.0,26.0,339.0,0.0
